,,,Time,,,,,,,,,,,Speedup AoS,,,,,,,,,
,,AoS 750,100,200,300,400,500,600,700,800,900,1000,,100,200,300,400,500,600,700,800,900,1000
,10gs,73.66,42.15,45.67,48.88,52.01,54.60,57.56,60.77,63.56,65.91,69.21,,1.75,1.61,1.51,1.42,1.35,1.28,1.21,1.16,1.12,1.06
,1a30,58.82,32.83,36.24,39.89,42.86,44.84,46.89,49.26,51.72,54.14,56.97,,1.79,1.62,1.47,1.37,1.31,1.25,1.19,1.14,1.09,1.03
,1bcu,17.62,9.41,11.63,13.67,15.64,17.42,19.65,21.82,23.37,25.16,27.28,,1.87,1.52,1.29,1.13,1.01,0.90,0.81,0.75,0.70,0.65
,1gpk,25.30,13.75,16.28,18.85,21.16,23.64,26.42,29.06,31.92,34.12,35.67,,1.84,1.55,1.34,1.20,1.07,0.96,0.87,0.79,0.74,0.71
,1h23,118.87,78.97,83.53,87.16,89.99,94.34,98.68,103.61,107.36,108.32,109.27,,1.51,1.42,1.36,1.32,1.26,1.20,1.15,1.11,1.10,1.09
,1hfs,156.59,104.94,111.84,119.33,125.32,131.64,137.14,136.81,141.57,143.53,145.36,,1.49,1.40,1.31,1.25,1.19,1.14,1.14,1.11,1.09,1.08
,1hnn,20.24,9.26,11.45,13.67,15.85,17.85,20.29,22.47,24.66,26.99,28.72,,2.19,1.77,1.48,1.28,1.13,1.00,0.90,0.82,0.75,0.70
,1igj,91.23,63.47,68.73,73.02,75.64,77.40,80.98,83.56,87.07,89.19,93.91,,1.44,1.33,1.25,1.21,1.18,1.13,1.09,1.05,1.02,0.97
,1jyq,122.50,79.72,86.31,93.03,99.53,103.06,110.35,114.66,115.65,116.78,119.90,,1.54,1.42,1.32,1.23,1.19,1.11,1.07,1.06,1.05,1.02
,2j62,61.73,34.96,38.28,41.65,44.71,47.18,50.14,52.39,55.56,58.02,61.22,,1.77,1.61,1.48,1.38,1.31,1.23,1.18,1.11,1.06,1.01
,2obf,41.59,20.52,23.56,26.72,29.18,31.18,33.88,36.18,38.27,40.72,43.26,,2.03,1.76,1.56,1.43,1.33,1.23,1.15,1.09,1.02,0.96
,2ole,61.16,35.96,39.04,42.06,44.73,46.76,49.61,52.00,54.47,56.35,60.31,,1.70,1.57,1.45,1.37,1.31,1.23,1.18,1.12,1.09,1.01
,2w66,29.69,15.55,17.69,20.17,22.44,24.59,27.22,29.56,31.62,33.90,35.83,,1.91,1.68,1.47,1.32,1.21,1.09,1.00,0.94,0.88,0.83
,2wca,54.76,29.58,32.96,35.80,38.06,40.86,43.23,45.97,48.64,50.97,53.65,,1.85,1.66,1.53,1.44,1.34,1.27,1.19,1.13,1.07,1.02
,2weg,13.60,4.70,6.52,8.34,10.22,11.83,13.89,15.37,17.46,19.45,20.82,,2.89,2.09,1.63,1.33,1.15,0.98,0.88,0.78,0.70,0.65
,2x97,80.63,47.48,51.25,54.67,57.54,59.75,63.58,65.60,69.69,72.30,75.39,,1.70,1.57,1.47,1.40,1.35,1.27,1.23,1.16,1.12,1.07
,2xb8,38.97,19.55,22.58,25.62,28.05,30.12,32.70,34.88,37.30,39.85,42.29,,1.99,1.73,1.52,1.39,1.29,1.19,1.12,1.04,0.98,0.92
,2xbv,57.78,36.13,39.91,43.57,46.31,49.72,54.40,58.20,61.09,61.90,66.35,,1.60,1.45,1.33,1.25,1.16,1.06,0.99,0.95,0.93,0.87
,2xhm,93.68,56.09,60.67,64.58,67.73,70.22,73.44,76.70,79.84,82.32,85.49,,1.67,1.54,1.45,1.38,1.33,1.28,1.22,1.17,1.14,1.10
,2xnb,45.71,26.63,29.27,32.08,34.26,36.22,38.83,41.00,43.21,45.41,48.26,,1.72,1.56,1.42,1.33,1.26,1.18,1.11,1.06,1.01,0.95
,2xy9,128.29,82.85,90.05,97.81,104.46,109.75,112.72,114.51,117.83,120.40,122.90,,1.55,1.42,1.31,1.23,1.17,1.14,1.12,1.09,1.07,1.04
,3b68,54.44,28.85,32.20,35.92,38.89,41.27,44.53,47.61,50.68,53.26,57.03,,1.89,1.69,1.52,1.40,1.32,1.22,1.14,1.07,1.02,0.95
,3bkk,85.41,50.06,54.34,58.22,61.92,64.22,67.61,70.43,74.08,75.91,80.91,,1.71,1.57,1.47,1.38,1.33,1.26,1.21,1.15,1.13,1.06
,3cyx,150.78,102.87,110.05,116.39,119.44,121.88,128.86,134.03,142.78,145.54,148.15,,1.47,1.37,1.30,1.26,1.24,1.17,1.12,1.06,1.04,1.02
,3d4z,22.55,10.31,12.09,13.99,15.97,17.62,19.82,21.70,24.15,26.46,28.64,,2.19,1.87,1.61,1.41,1.28,1.14,1.04,0.93,0.85,0.79
,3f3c,19.37,8.90,11.07,12.68,14.44,16.18,18.18,19.90,21.78,24.27,25.57,,2.18,1.75,1.53,1.34,1.20,1.07,0.97,0.89,0.80,0.76
,3nq3,33.16,17.25,18.98,20.72,22.29,23.90,25.69,27.30,29.18,30.63,32.55,,1.92,1.75,1.60,1.49,1.39,1.29,1.21,1.14,1.08,1.02
,3ov1,73.73,40.34,43.57,47.40,50.64,53.39,56.48,59.81,62.49,65.22,68.58,,1.83,1.69,1.56,1.46,1.38,1.31,1.23,1.18,1.13,1.08
,3ozt,50.16,28.26,31.71,35.20,38.11,40.06,43.60,46.05,48.80,50.97,54.67,,1.78,1.58,1.43,1.32,1.25,1.15,1.09,1.03,0.98,0.92
,4djr,99.86,65.60,70.63,74.55,77.64,79.76,83.25,86.19,89.87,93.54,97.98,,1.52,1.41,1.34,1.29,1.25,1.20,1.16,1.11,1.07,1.02
,4gqq,21.05,9.81,11.58,13.51,15.30,17.05,18.89,20.36,22.15,23.96,25.47,,2.15,1.82,1.56,1.38,1.23,1.11,1.03,0.95,0.88,0.83
