Receptor,OCL sem constant,OCL constant,Speedup
10gs,0.55,0.432,1.28
1a30,0.25,0.227,1.09
1bcu,0.19,0.183,1.02
1e66’,0.57,0.474,1.20
1f8b,0.63,0.436,1.43
1f8c,0.96,0.497,1.94
1f8d,0.80,0.514,1.55
1gpk,0.30,0.203,1.49
1h23,0.79,0.634,1.24
1hfs,0.70,0.517,1.36
1hnn,0.19,0.173,1.07
1igj,1.04,0.551,1.89
1jyq,0.81,0.469,1.73
1kel,0.44,0.307,1.44
1lbk,0.36,0.285,1.27
1lol,0.42,0.323,1.31
1loq,0.32,0.225,1.41
1lor,0.31,0.226,1.35
1mq6,0.52,0.482,1.08
1n1m,0.48,0.351,1.36
1n2v,0.41,0.299,1.38
1nvq,0.68,0.36,1.88
1o3f,0.57,0.323,1.78
1o5b,0.33,0.185,1.81
1os0,0.47,0.345,1.35
1oyt,0.64,0.366,1.75
1p1q,0.29,0.191,1.53
1ps3,0.40,0.226,1.75
1q8t,0.40,0.351,1.13
1q8u,0.40,0.284,1.40
1qi0,0.50,0.288,1.74
1r5y,0.34,0.19,1.78
1sln,0.52,0.345,1.50
1sqa,0.53,0.377,1.41
1u1b,0.62,0.505,1.23
1u33,0.75,0.379,1.98
1uto,0.25,0.137,1.84
1vso,0.50,0.256,1.97
1w3k,0.32,0.177,1.78
1w3l,0.68,0.4,1.70
1w4o,0.25,0.199,1.26
1xd0,0.61,0.515,1.18
1yc1,0.37,0.205,1.80
1z95,0.47,0.252,1.88
1zea,1.53,1.01,1.51
2brb,0.53,0.264,2.00
2cbj,0.41,0.365,1.11
2cet,0.42,0.257,1.64
2d1o,0.61,0.485,1.25
2d3u,0.44,0.36,1.24
2fvd,0.41,0.371,1.12
2g70,0.40,0.247,1.61
2gss,0.36,0.273,1.33
2hb1,0.26,0.142,1.83
2iwx,0.23,0.188,1.21
2j62,1.03,0.661,1.57
2j78,0.20,0.189,1.04
2jdm,0.22,0.142,1.57
2jdu,0.16,0.152,1.05
2jdy,0.22,0.147,1.52
2obf,0.55,0.406,1.35
2ole,1.17,0.834,1.40
2p4y,0.49,0.431,1.15
2pcp,0.26,0.194,1.35
2pq9,0.45,0.242,1.86
2qbp,0.76,0.679,1.12
2qbr,0.35,0.318,1.09
2qft,0.29,0.174,1.69
2qmj,1.29,0.763,1.69
2r23,0.33,0.231,1.44
2v00,0.26,0.196,1.34
2v7a,0.92,0.642,1.44
2vl4,0.40,0.206,1.94
2vo5,0.46,0.24,1.91
2vot,0.51,0.308,1.65
2vvn,0.58,0.306,1.89
2vw5,0.37,0.248,1.47
2w66,0.32,0.253,1.27
2wbg,0.94,0.663,1.42
2wca,0.71,0.498,1.42
2weg,0.14,0.136,1.03
2wtv,0.40,0.356,1.12
2x00,1.18,0.788,1.49
2x0y,0.83,0.511,1.63
