Receptor,Cores,AoS Time(s),SoA Time(s),Speedup
10gs,1,350.25,188.81,1.86
1a30,1,79.10,48.10,1.64
1bcu,1,63.41,36.04,1.76
1gpk,1,129.07,72.05,1.79
1h23,1,528.18,303.58,1.74
1hfs,1,493.92,192.70,2.56
1hnn,1,74.33,40.75,1.82
1igj,1,495.64,284.90,1.74
1jyq,1,263.07,142.51,1.85
2j62,1,846.36,458.51,1.85
2obf,1,242.61,131.20,1.85
2ole,1,1133.28,613.92,1.85
2w66,1,192.23,106.37,1.81
2wca,1,458.96,253.13,1.81
2weg,1,37.34,21.49,1.74
2x97,1,509.69,284.92,1.79
2xb8,1,864.25,468.18,1.85
2xbv,1,368.65,200.78,1.84
2xhm,1,499.60,269.78,1.85
2xnb,1,242.47,129.39,1.87
2xy9,1,990.22,536.43,1.85
3b68,1,185.64,99.45,1.87
3bkk,1,561.83,301.81,1.86
3cyx,1,202.14,109.51,1.85
3d4z,1,186.26,105.08,1.77
3f3c,1,179.04,100.75,1.78
3nq3,1,48.46,30.32,1.60
3ov1,1,82.55,49.20,1.68
3ozt,1,251.11,133.12,1.89
4djr,1,235.87,120.41,1.96
4gqq,1,220.78,124.37,1.78
10gs,2,182.93,98.51,1.86
1a30,2,42.33,25.28,1.67
1bcu,2,32.69,18.72,1.75
1gpk,2,67.62,37.47,1.80
1h23,2,276.90,159.84,1.73
1hfs,2,183.23,103.87,1.76
1hnn,2,39.36,21.16,1.86
1igj,2,262.18,147.95,1.77
1jyq,2,137.27,74.22,1.85
2j62,2,428.45,240.64,1.78
2obf,2,127.14,68.70,1.85
2ole,2,593.73,318.95,1.86
2w66,2,100.29,55.14,1.82
2wca,2,239.69,135.09,1.77
2weg,2,19.42,11.09,1.75
2x97,2,265.35,148.74,1.78
2xb8,2,388.50,228.78,1.70
2xbv,2,195.58,103.90,1.88
2xhm,2,262.07,141.14,1.86
2xnb,2,125.60,67.21,1.87
2xy9,2,534.93,278.66,1.92
3b68,2,97.00,54.12,1.79
3bkk,2,291.83,164.17,1.78
3cyx,2,106.00,57.69,1.84
3d4z,2,97.62,54.63,1.79
3f3c,2,93.57,52.43,1.78
3nq3,2,25.39,15.96,1.59
3ov1,2,43.02,24.11,1.78
3ozt,2,131.08,68.55,1.91
4djr,2,121.68,62.68,1.94
4gqq,2,114.96,64.10,1.79
10gs,3,123.76,66.49,1.86
1a30,3,28.38,17.10,1.66
1bcu,3,22.03,12.79,1.72
1gpk,3,45.25,25.24,1.79
1h23,3,188.91,107.02,1.77
1hfs,3,124.45,68.63,1.81
1hnn,3,25.93,14.47,1.79
1igj,3,175.51,100.39,1.75
1jyq,3,92.53,49.83,1.86
2j62,3,292.32,162.52,1.80
2obf,3,94.28,46.46,2.03
2ole,3,403.39,216.67,1.86
2w66,3,68.04,57.00,1.19
2wca,3,161.00,89.05,1.81
2weg,3,13.18,11.71,1.13
2x97,3,181.89,151.13,1.20
2xb8,3,263.27,155.24,1.70
2xbv,3,131.12,69.99,1.87
2xhm,3,177.37,95.54,1.86
2xnb,3,85.32,45.63,1.87
2xy9,3,363.39,188.89,1.92
3b68,3,65.84,35.41,1.86
3bkk,3,196.79,110.85,1.78
3cyx,3,71.16,38.82,1.83
3d4z,3,65.87,37.79,1.74
3f3c,3,64.70,35.62,1.82
3nq3,3,17.17,10.73,1.60
3ov1,3,29.17,16.39,1.78
3ozt,3,89.42,46.61,1.92
4djr,3,81.60,42.31,1.93
4gqq,3,78.79,43.50,1.81
10gs,4,94.31,50.92,1.85
1a30,4,21.28,13.03,1.63
1bcu,4,17.17,9.62,1.78
1gpk,4,34.64,19.44,1.78
1h23,4,141.90,81.80,1.73
1hfs,4,94.16,52.26,1.80
1hnn,4,19.68,11.01,1.79
1igj,4,135.72,76.38,1.78
1jyq,4,72.77,38.19,1.91
2j62,4,222.41,123.52,1.80
2obf,4,65.33,35.37,1.85
2ole,4,314.66,165.22,1.90
2w66,4,51.73,28.63,1.81
2wca,4,122.80,68.25,1.80
2weg,4,10.09,5.97,1.69
2x97,4,137.34,76.76,1.79
2xb8,4,200.01,118.67,1.69
2xbv,4,99.33,53.50,1.86
2xhm,4,134.92,72.59,1.86
2xnb,4,64.51,34.77,1.86
2xy9,4,276.02,144.20,1.91
3b68,4,49.71,26.82,1.85
3bkk,4,150.56,84.62,1.78
3cyx,4,54.51,29.49,1.85
3d4z,4,50.34,28.25,1.78
3f3c,4,47.98,26.99,1.78
3nq3,4,13.04,8.21,1.59
3ov1,4,22.20,12.64,1.76
3ozt,4,67.47,35.41,1.91
4djr,4,68.16,32.29,2.11
4gqq,4,60.09,33.12,1.81
10gs,5,75.34,41.03,1.84
1a30,5,16.98,10.46,1.62
1bcu,5,13.58,7.79,1.74
1gpk,5,27.76,16.27,1.71
1h23,5,114.86,65.59,1.75
1hfs,5,75.54,41.78,1.81
1hnn,5,15.84,9.03,1.75
1igj,5,107.77,61.08,1.76
1jyq,5,56.51,30.39,1.86
2j62,5,178.11,99.79,1.78
2obf,5,53.03,28.29,1.87
2ole,5,246.09,138.01,1.78
2w66,5,41.47,23.05,1.80
2wca,5,98.83,54.48,1.81
2weg,5,8.15,4.65,1.75
2x97,5,109.83,84.98,1.29
2xb8,5,163.49,94.84,1.72
2xbv,5,79.65,42.84,1.86
2xhm,5,108.19,58.13,1.86
2xnb,5,51.72,29.88,1.73
2xy9,5,221.45,115.22,1.92
3b68,5,40.17,21.56,1.86
3bkk,5,120.74,67.80,1.78
3cyx,5,43.63,23.60,1.85
3d4z,5,40.25,22.59,1.78
3f3c,5,38.55,21.67,1.78
3nq3,5,10.49,6.60,1.59
3ov1,5,17.81,10.07,1.77
3ozt,5,57.74,28.32,2.04
4djr,5,50.04,26.24,1.91
4gqq,5,47.46,26.40,1.80
10gs,6,62.76,34.09,1.84
1a30,6,14.31,8.81,1.63
1bcu,6,11.32,6.50,1.74
1gpk,6,23.16,13.19,1.76
1h23,6,94.76,54.64,1.73
1hfs,6,63.08,35.06,1.80
1hnn,6,13.33,7.33,1.82
1igj,6,90.50,51.27,1.77
1jyq,6,47.18,25.33,1.86
2j62,6,148.10,82.60,1.79
2obf,6,44.06,23.66,1.86
2ole,6,204.36,111.15,1.84
2w66,6,34.93,19.37,1.80
2wca,6,89.01,45.43,1.96
2weg,6,6.78,3.85,1.76
2x97,6,91.82,51.39,1.79
2xb8,6,133.85,79.28,1.69
2xbv,6,66.34,35.54,1.87
2xhm,6,90.57,48.42,1.87
2xnb,6,43.16,23.47,1.84
2xy9,6,184.88,96.36,1.92
3b68,6,33.29,18.05,1.84
3bkk,6,100.72,56.58,1.78
3cyx,6,36.45,19.81,1.84
3d4z,6,33.44,18.77,1.78
3f3c,6,32.60,18.10,1.80
3nq3,6,9.56,5.54,1.72
3ov1,6,14.88,11.03,1.35
3ozt,6,45.19,23.75,1.90
4djr,6,42.83,21.70,1.97
4gqq,6,39.61,22.96,1.73
10gs,7,54.11,29.51,1.83
1a30,7,12.18,7.51,1.62
1bcu,7,9.71,5.63,1.73
1gpk,7,19.91,11.10,1.79
1h23,7,81.22,46.94,1.73
1hfs,7,57.06,30.29,1.88
1hnn,7,11.34,6.34,1.79
1igj,7,76.50,43.84,1.74
1jyq,7,40.50,21.75,1.86
2j62,7,127.58,71.06,1.80
2obf,7,37.59,20.27,1.85
2ole,7,236.87,94.68,2.50
2w66,7,29.67,19.52,1.52
2wca,7,71.11,43.79,1.62
2weg,7,5.82,3.39,1.72
2x97,7,78.71,44.35,1.77
2xb8,7,114.97,67.95,1.69
2xbv,7,64.34,30.63,2.10
2xhm,7,77.80,41.69,1.87
2xnb,7,36.98,20.06,1.84
2xy9,7,158.24,82.07,1.93
3b68,7,28.51,15.51,1.84
3bkk,7,86.35,48.56,1.78
3cyx,7,31.21,16.88,1.85
3d4z,7,28.70,16.45,1.75
3f3c,7,27.62,15.60,1.77
3nq3,7,7.38,4.67,1.58
3ov1,7,12.76,9.41,1.36
3ozt,7,38.93,20.51,1.90
4djr,7,35.82,18.63,1.92
4gqq,7,34.49,18.94,1.82
10gs,8,47.33,25.82,1.83
1a30,8,10.72,6.56,1.63
1bcu,8,8.52,4.81,1.77
1gpk,8,17.43,9.76,1.79
1h23,8,72.59,40.96,1.77
1hfs,8,47.55,26.35,1.80
1hnn,8,9.96,5.61,1.77
1igj,8,67.00,38.33,1.75
1jyq,8,35.47,18.98,1.87
2j62,8,111.13,62.28,1.78
2obf,8,32.90,17.98,1.83
2ole,8,153.63,82.85,1.85
2w66,8,26.00,14.33,1.81
2wca,8,61.87,34.18,1.81
2weg,8,5.03,2.95,1.71
2x97,8,69.75,38.69,1.80
2xb8,8,100.52,59.53,1.69
2xbv,8,49.91,26.91,1.85
2xhm,8,69.27,36.35,1.91
2xnb,8,32.39,17.63,1.84
2xy9,8,139.04,72.65,1.91
3b68,8,25.15,13.49,1.86
3bkk,8,75.71,44.96,1.68
3cyx,8,27.33,14.91,1.83
3d4z,8,25.19,14.45,1.74
3f3c,8,24.24,13.63,1.78
3nq3,8,6.58,4.18,1.58
3ov1,8,11.17,6.34,1.76
3ozt,8,34.02,18.10,1.88
4djr,8,31.22,16.27,1.92
4gqq,8,29.69,16.52,1.80
10gs,9,42.11,23.02,1.83
1a30,9,9.50,5.76,1.65
1bcu,9,7.60,4.30,1.77
1gpk,9,15.52,8.71,1.78
1h23,9,63.38,36.74,1.73
1hfs,9,42.01,23.75,1.77
1hnn,9,8.86,4.90,1.81
1igj,9,59.56,34.19,1.74
1jyq,9,31.50,16.93,1.86
2j62,9,100.10,55.22,1.81
2obf,9,29.18,16.06,1.82
2ole,9,137.09,73.67,1.86
2w66,9,23.11,12.86,1.80
2wca,9,55.02,30.39,1.81
2weg,9,4.51,2.63,1.72
2x97,9,61.40,34.27,1.79
2xb8,9,90.34,53.03,1.70
2xbv,9,44.91,24.26,1.85
2xhm,9,60.85,32.34,1.88
2xnb,9,28.93,16.25,1.78
2xy9,9,124.13,64.29,1.93
3b68,9,23.15,12.11,1.91
3bkk,9,67.88,37.93,1.79
3cyx,9,24.31,13.11,1.85
3d4z,9,22.44,13.02,1.72
3f3c,9,21.76,12.09,1.80
3nq3,9,5.79,3.70,1.56
3ov1,9,10.14,5.69,1.78
3ozt,9,42.98,15.90,2.70
4djr,9,27.82,14.69,1.89
4gqq,9,26.52,14.73,1.80
10gs,10,37.89,20.62,1.84
1a30,10,8.60,5.31,1.62
1bcu,10,6.86,3.86,1.78
1gpk,10,14.02,7.83,1.79
1h23,10,57.26,33.16,1.73
1hfs,10,37.97,21.10,1.80
1hnn,10,7.91,4.39,1.80
1igj,10,53.65,31.05,1.73
1jyq,10,28.48,15.19,1.87
2j62,10,89.41,50.32,1.78
2obf,10,26.61,14.44,1.84
2ole,10,123.29,67.03,1.84
2w66,10,21.18,11.53,1.84
2wca,10,49.65,27.49,1.81
2weg,10,4.16,2.34,1.78
2x97,10,55.70,31.42,1.77
2xb8,10,80.69,55.89,1.44
2xbv,10,40.78,21.45,1.90
