10gs,1,4382.02,2265.72,1.93
1a30,1,801.06,481.00,1.67
1bcu,1,436.73,216.24,2.02
1gpk,1,1234.28,648.45,1.90
1h23,1,4857.35,2732.22,1.78
1hfs,1,4969.67,1927.00,2.58
1hnn,1,690.52,366.75,1.88
1igj,1,3666.89,1994.30,1.84
1jyq,1,3199.71,1710.12,1.87
2j62,1,11252.59,5960.63,1.89
2obf,1,2938.87,1574.40,1.87
2ole,1,13731.33,7367.04,1.86
2w66,1,2064.13,1063.70,1.94
2wca,1,4925.12,2531.30,1.95
2weg,1,276.31,150.43,1.84
2x97,1,5143.32,2849.20,1.81
2xb8,1,8146.51,4213.62,1.93
2xbv,1,4580.31,2409.36,1.90
2xhm,1,6437.44,3237.36,1.99
2xnb,1,3203.51,1682.07,1.90
2xy9,1,16112.65,8582.88,1.88
3b68,1,2399.87,1193.40,2.01
3bkk,1,6576.90,3319.91,1.98
3cyx,1,2584.12,1314.12,1.97
3d4z,1,1661.01,840.64,1.98
3f3c,1,1474.30,806.00,1.83
3nq3,1,233.48,121.28,1.93
3ov1,1,930.55,541.20,1.72
3ozt,1,3907.21,1996.80,1.96
4djr,1,3777.26,1926.56,1.96
4gqq,1,2013.25,1119.33,1.80
10gs,2,2292.81,1182.12,1.94
1a30,2,439.18,252.80,1.74
1bcu,2,201.62,112.32,1.80
1gpk,2,663.89,337.23,1.97
1h23,2,2765.10,1438.56,1.92
1hfs,2,1947.99,1038.70,1.88
1hnn,2,367.50,190.44,1.93
1igj,2,2087.67,1035.65,2.02
1jyq,2,1778.65,890.64,2.00
2j62,2,5771.27,3128.32,1.84
2obf,2,1555.58,824.40,1.89
2ole,2,7137.18,3827.40,1.86
2w66,2,1087.32,551.40,1.97
2wca,2,2442.85,1350.90,1.81
2weg,2,143.71,77.63,1.85
2x97,2,2861.37,1487.40,1.92
2xb8,2,3640.32,2059.02,1.77
2xbv,2,2358.83,1246.80,1.89
2xhm,2,3389.70,1693.68,2.00
2xnb,2,1744.35,873.73,2.00
2xy9,2,8654.98,4458.56,1.94
3b68,2,1255.73,649.44,1.93
3bkk,2,3282.08,1805.87,1.82
3cyx,2,1299.10,692.28,1.88
3d4z,2,806.59,437.04,1.85
3f3c,2,769.99,419.44,1.84
3nq3,2,122.55,63.84,1.92
3ov1,2,484.14,265.21,1.83
3ozt,2,2067.67,1028.25,2.01
4djr,2,2030.32,1002.88,2.02
4gqq,2,1083.91,576.90,1.88
10gs,3,1540.43,797.88,1.93
1a30,3,311.64,171.00,1.82
1bcu,3,134.34,76.74,1.75
1gpk,3,433.10,227.16,1.91
1h23,3,1798.99,963.18,1.87
1hfs,3,1360.58,686.30,1.98
1hnn,3,235.18,130.23,1.81
1igj,3,1344.68,702.73,1.91
1jyq,3,1141.39,597.96,1.91
2j62,3,3895.37,2112.76,1.84
2obf,3,1146.46,557.52,2.06
2ole,3,5065.38,2600.04,1.95
2w66,3,704.33,570.00,1.24
2wca,3,1626.70,890.50,1.83
2weg,3,101.14,81.97,1.23
2x97,3,1871.17,1511.30,1.24
2xb8,3,2382.93,1397.16,1.71
2xbv,3,1690.27,839.88,2.01
2xhm,3,2303.49,1146.48,2.01
2xnb,3,1127.53,593.19,1.90
2xy9,3,5891.83,3022.24,1.95
3b68,3,817.65,424.92,1.92
3bkk,3,2252.40,1219.35,1.85
3cyx,3,904.78,465.84,1.94
3d4z,3,531.51,302.32,1.76
3f3c,3,555.17,284.96,1.95
3nq3,3,80.39,42.92,1.87
3ov1,3,333.78,180.29,1.85
3ozt,3,1388.37,699.15,1.99
4djr,3,1349.25,676.96,1.99
4gqq,3,729.76,391.50,1.86
10gs,4,1215.40,611.04,1.99
1a30,4,222.38,130.30,1.71
1bcu,4,104.88,57.72,1.82
1gpk,4,339.31,174.96,1.94
1h23,4,1326.63,736.20,1.80
1hfs,4,1024.61,522.60,1.96
1hnn,4,180.12,99.09,1.82
1igj,4,1032.43,534.66,1.93
1jyq,4,898.65,458.28,1.96
2j62,4,3015.40,1605.76,1.88
2obf,4,837.27,424.44,1.97
2ole,4,3874.29,1982.64,1.95
2w66,4,546.05,286.30,1.91
2wca,4,1282.51,682.50,1.88
2weg,4,73.46,41.79,1.76
2x97,4,1391.03,767.60,1.81
2xb8,4,1899.55,1068.03,1.78
2xbv,4,1265.70,642.00,1.97
2xhm,4,1677.40,871.08,1.93
2xnb,4,880.12,452.01,1.95
2xy9,4,4483.67,2307.20,1.94
3b68,4,642.40,321.84,2.00
3bkk,4,1705.06,930.82,1.83
3cyx,4,696.63,353.88,1.97
3d4z,4,408.41,226.00,1.81
3f3c,4,425.29,215.92,1.97
3nq3,4,56.64,32.84,1.72
3ov1,4,254.93,139.04,1.83
3ozt,4,1063.32,531.15,2.00
4djr,4,1139.23,516.64,2.21
4gqq,4,583.77,298.08,1.96
10gs,5,949.07,492.36,1.93
1a30,5,182.88,104.60,1.75
1bcu,5,91.00,46.74,1.95
1gpk,5,257.63,146.43,1.76
1h23,5,1130.32,590.31,1.91
1hfs,5,824.51,417.80,1.97
1hnn,5,157.13,81.27,1.93
1igj,5,773.65,427.56,1.81
1jyq,5,686.58,364.68,1.88
2j62,5,2463.44,1297.27,1.90
2obf,5,664.74,339.48,1.96
2ole,5,3112.56,1656.12,1.88
2w66,5,419.41,230.50,1.82
2wca,5,1011.40,544.80,1.86
2weg,5,63.95,32.55,1.96
2x97,5,1100.06,849.80,1.29
2xb8,5,1567.30,853.56,1.84
2xbv,5,1007.31,514.08,1.96
2xhm,5,1368.84,697.56,1.96
2xnb,5,702.04,388.44,1.81
2xy9,5,3760.73,1843.52,2.04
3b68,5,488.17,258.72,1.89
3bkk,5,1442.95,745.80,1.93
3cyx,5,525.40,283.20,1.86
3d4z,5,332.34,180.72,1.84
3f3c,5,325.72,173.36,1.88
3nq3,5,47.24,26.40,1.79
3ov1,5,200.71,110.77,1.81
3ozt,5,908.58,424.80,2.14
4djr,5,826.20,419.84,1.97
4gqq,5,430.07,237.60,1.81
10gs,6,778.40,409.08,1.90
1a30,6,145.18,88.10,1.65
1bcu,6,70.26,39.00,1.80
1gpk,6,212.08,118.71,1.79
1h23,6,913.56,491.76,1.86
1hfs,6,670.49,350.60,1.91
1hnn,6,125.76,65.97,1.91
1igj,6,668.60,358.89,1.86
1jyq,6,610.45,303.96,2.01
2j62,6,2004.86,1073.80,1.87
2obf,6,559.17,283.92,1.97
2ole,6,2520.37,1333.80,1.89
2w66,6,365.60,193.70,1.89
2wca,6,976.84,454.30,2.15
2weg,6,53.92,26.95,2.00
2x97,6,960.36,513.90,1.87
2xb8,6,1234.62,713.52,1.73
2xbv,6,847.28,426.48,1.99
2xhm,6,1138.28,581.04,1.96
2xnb,6,584.81,305.11,1.92
2xy9,6,3100.37,1541.76,2.01
3b68,6,405.61,216.60,1.87
3bkk,6,1156.67,622.38,1.86
3cyx,6,440.34,237.72,1.85
3d4z,6,294.83,150.16,1.96
3f3c,6,268.56,144.80,1.85
3nq3,6,39.22,22.16,1.77
3ov1,6,170.64,121.33,1.41
3ozt,6,700.03,356.25,1.96
4djr,6,690.62,347.20,1.99
4gqq,6,393.99,206.64,1.91
10gs,7,698.73,354.12,1.97
1a30,7,125.78,75.10,1.67
1bcu,7,62.23,33.78,1.84
1gpk,7,185.94,99.90,1.86
1h23,7,755.34,422.46,1.79
